PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2632337,72647646,2.83
2632337,72647653,2.83
2632337,72647660,2.83
2632337,72647677,2.83
2632337,72647684,2.83
2632337,72647691,2.83
2632337,72647707,2.83
2666878,72647851,2.83
2666878,72647868,2.83
2666878,72647875,2.83
2666878,72647882,2.83
2666878,72647899,2.83
2666878,72647905,2.83
2666878,72647912,2.83
2666879,72647783,2.83
2666879,72647790,2.83
2666879,72647806,2.83
2666879,72647813,2.83
2666879,72647820,2.83
2666879,72647837,2.83
2666879,72647844,2.83
2667187,72647578,2.83
2667187,72647585,2.83
2667187,72647592,2.83
2667187,72647608,2.83
2667187,72647615,2.83
2667187,72647622,2.83
2667187,72647639,2.83
2666880,72647851,2.83
2666880,72647868,2.83
2666880,72647875,2.83
2666880,72647882,2.83
2666880,72647899,2.83
2666880,72647905,2.83
2666880,72647912,2.83
2666881,72647783,2.83
2666881,72647790,2.83
2666881,72647806,2.83
2666881,72647813,2.83
2666881,72647820,2.83
2666881,72647837,2.83
2666881,72647844,2.83
2666882,72647646,2.83
2666882,72647653,2.83
2666882,72647660,2.83
2666882,72647677,2.83
2666882,72647684,2.83
2666882,72647691,2.83
2666882,72647707,2.83
2667188,72647578,2.83
2667188,72647585,2.83
2667188,72647592,2.83
2667188,72647608,2.83
2667188,72647615,2.83
2667188,72647622,2.83
2667188,72647639,2.83
2666883,72647578,2.83
2666883,72647585,2.83
2666883,72647592,2.83
2666883,72647608,2.83
2666883,72647615,2.83
2666883,72647622,2.83
2666883,72647639,2.83
2666884,72647646,2.83
2666884,72647653,2.83
2666884,72647660,2.83
2666884,72647677,2.83
2666884,72647684,2.83
2666884,72647691,2.83
2666884,72647707,2.83
2666885,72647851,2.83
2666885,72647868,2.83
2666885,72647875,2.83
2666885,72647882,2.83
2666885,72647899,2.83
2666885,72647905,2.83
2666885,72647912,2.83
2667189,72647783,2.83
2667189,72647790,2.83
2667189,72647806,2.83
2667189,72647813,2.83
2667189,72647820,2.83
2667189,72647837,2.83
2667189,72647844,2.83
2666886,72647578,2.83
2666886,72647585,2.83
2666886,72647592,2.83
2666886,72647608,2.83
2666886,72647615,2.83
2666886,72647622,2.83
2666886,72647639,2.83
2666887,72647783,2.83
2666887,72647790,2.83
2666887,72647806,2.83
2666887,72647813,2.83
2666887,72647820,2.83
2666887,72647837,2.83
2666887,72647844,2.83
2666888,72647851,2.83
2666888,72647868,2.83
2666888,72647875,2.83
2666888,72647882,2.83
2666888,72647899,2.83
2666888,72647905,2.83
2666888,72647912,2.83
2667190,72647646,2.83
2667190,72647653,2.83
2667190,72647660,2.83
2667190,72647677,2.83
2667190,72647684,2.83
2667190,72647691,2.83
2667190,72647707,2.83
2672079,71186054,1.695
2672079,71186061,1.695
2672079,71186078,1.695
2672079,71186085,1.695
2672079,71186092,1.695
2672080,71186122,1.695
2672080,71186139,1.695
2672080,71186146,1.695
2672080,71186153,1.695
2672080,71186160,1.695
2672081,71185989,1.695
2672081,71185996,1.695
2672081,71186009,1.695
2672081,71186016,1.695
2672081,71186023,1.695
2672082,71186054,1.695
2672082,71186061,1.695
2672082,71186078,1.695
2672082,71186085,1.695
2672082,71186092,1.695
2672083,71186054,1.695
2672083,71186061,1.695
2672083,71186078,1.695
2672083,71186085,1.695
2672083,71186092,1.695
2631964,71185972,1.67
2631964,71185989,1.67
2631964,71185996,1.67
2631964,71186009,1.67
2631964,71186016,1.67
2631964,71186023,1.67
2631964,71186030,1.67
2631965,71186115,1.67
2631965,71186122,1.67
2631965,71186139,1.67
2631965,71186146,1.67
2631965,71186153,1.67
2631965,71186160,1.67
2631965,71186177,1.67
2631966,71186047,1.67
2631966,71186054,1.67
2631966,71186061,1.67
2631966,71186078,1.67
2631966,71186085,1.67
2631966,71186092,1.67
2631966,71186108,1.67
2666821,71186467,3.3
2666821,71186474,3.3
2666821,71186481,3.3
2666821,71186498,3.3
2666821,71186504,3.3
2666821,71186511,3.3
2666821,71186528,3.3
2666822,71186535,3.3
2666822,71186542,3.3
2666822,71186559,3.3
2666822,71186566,3.3
2666822,71186573,3.3
2666822,71186580,3.3
2666856,71186467,3.3
2666856,71186474,3.3
2666856,71186481,3.3
2666856,71186498,3.3
2666856,71186504,3.3
2666856,71186511,3.3
2666856,71186528,3.3
2666857,71186535,3.3
2666857,71186542,3.3
2666857,71186559,3.3
2666857,71186566,3.3
2666857,71186573,3.3
2666857,71186580,3.3
2666864,71186535,3.3
2666864,71186542,3.3
2666864,71186559,3.3
2666864,71186566,3.3
2666864,71186573,3.3
2666864,71186580,3.3
2666865,71186467,3.3
2666865,71186474,3.3
2666865,71186481,3.3
2666865,71186498,3.3
2666865,71186504,3.3
2666865,71186511,3.3
2666865,71186528,3.3
2666874,71186535,3.3
2666874,71186542,3.3
2666874,71186559,3.3
2666874,71186566,3.3
2666874,71186573,3.3
2666874,71186580,3.3
2666875,71186467,3.3
2666875,71186474,3.3
2666875,71186481,3.3
2666875,71186498,3.3
2666875,71186504,3.3
2666875,71186511,3.3
2666875,71186528,3.3
2667297,71187075,5.15
2667297,71187082,5.15
2667297,71187099,5.15
2667297,71187105,5.15
2667297,71187112,5.15
2667297,71187129,5.15
2667297,71187136,5.15
2667298,71945064,5.15
2667298,71945071,5.15
2667298,71945088,5.15
2667298,71945095,5.15
2667298,71945101,5.15
2667298,71945118,5.15
2667299,71187013,5.15
2667299,71187020,5.15
2667299,71187037,5.15
2667299,71187044,5.15
2667299,71187051,5.15
2667299,71187068,5.15
2667300,71187150,5.15
2667300,71187167,5.15
2667300,71187174,5.15
2667300,71187181,5.15
2667300,71187198,5.15
2667300,71187204,5.15
2667303,71187075,5.15
2667303,71187082,5.15
2667303,71187099,5.15
2667303,71187105,5.15
2667303,71187112,5.15
2667303,71187129,5.15
2667303,71187136,5.15
2667304,71187150,5.15
2667304,71187167,5.15
2667304,71187174,5.15
2667304,71187181,5.15
2667304,71187198,5.15
2667304,71187204,5.15
2667305,71945064,5.15
2667305,71945071,5.15
2667305,71945088,5.15
2667305,71945095,5.15
2667305,71945101,5.15
2667305,71945118,5.15
2667308,71945064,5.15
2667308,71945071,5.15
2667308,71945088,5.15
2667308,71945095,5.15
2667308,71945101,5.15
2667308,71945118,5.15
2667309,71187150,5.15
2667309,71187167,5.15
2667309,71187174,5.15
2667309,71187181,5.15
2667309,71187198,5.15
2667309,71187204,5.15
2667310,71187075,5.15
2667310,71187082,5.15
2667310,71187099,5.15
2667310,71187105,5.15
2667310,71187112,5.15
2667310,71187129,5.15
2667310,71187136,5.15
2667311,71187013,5.15
2667311,71187020,5.15
2667311,71187037,5.15
2667311,71187044,5.15
2667311,71187051,5.15
2667311,71187068,5.15
2667295,71187327,4.55
2667295,71187334,4.55
2667295,71187341,4.55
2667295,71187358,4.55
2667295,71187365,4.55
2667295,71187372,4.55
2667296,71187396,4.55
2667296,71187402,4.55
2667296,71187419,4.55
2667296,71187426,4.55
2667296,71187433,4.55
2667296,71187440,4.55
2667301,71187327,4.55
2667301,71187334,4.55
