PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2632281,71700380,4.54
2632281,71700397,4.54
2632281,71700403,4.54
2632281,71700410,4.54
2632281,71700427,4.54
2632281,71700434,4.54
2632287,71700311,4.54
2632287,71700328,4.54
2632287,71700335,4.54
2632287,71700342,4.54
2632287,71700359,4.54
2632287,71700366,4.54
2632288,71700243,4.54
2632288,71700250,4.54
2632288,71700267,4.54
2632288,71700274,4.54
2632288,71700281,4.54
2632288,71700298,4.54
2632290,71700380,4.54
2632290,71700397,4.54
2632290,71700403,4.54
2632290,71700410,4.54
2632290,71700427,4.54
2632290,71700434,4.54
2632291,71700243,4.54
2632291,71700250,4.54
2632291,71700267,4.54
2632291,71700274,4.54
2632291,71700281,4.54
2632291,71700298,4.54
2632304,71700458,4.54
2632304,71700465,4.54
2632304,71700472,4.54
2632304,71700489,4.54
2632304,71700496,4.54
2632304,71700502,4.54
2632305,71700380,4.54
2632305,71700397,4.54
2632305,71700403,4.54
2632305,71700410,4.54
2632305,71700427,4.54
2632305,71700434,4.54
2632306,71700311,4.54
2632306,71700328,4.54
2632306,71700335,4.54
2632306,71700342,4.54
2632306,71700359,4.54
2632306,71700366,4.54
2632307,71700243,4.54
2632307,71700250,4.54
2632307,71700267,4.54
2632307,71700274,4.54
2632307,71700281,4.54
2632307,71700298,4.54
2632310,71700243,4.54
2632310,71700250,4.54
2632310,71700267,4.54
2632310,71700274,4.54
2632310,71700281,4.54
2632310,71700298,4.54
2632311,71700458,4.54
2632311,71700465,4.54
2632311,71700472,4.54
2632311,71700489,4.54
2632311,71700496,4.54
2632311,71700502,4.54
2632312,71700311,4.54
2632312,71700328,4.54
2632312,71700335,4.54
2632312,71700342,4.54
2632312,71700359,4.54
2632312,71700366,4.54
2632320,71700243,4.54
2632320,71700250,4.54
2632320,71700267,4.54
2632320,71700274,4.54
2632320,71700281,4.54
2632320,71700298,4.54
2632321,71700458,4.54
2632321,71700465,4.54
2632321,71700472,4.54
2632321,71700489,4.54
2632321,71700496,4.54
2632321,71700502,4.54
2632322,71700243,4.54
2632322,71700250,4.54
2632322,71700267,4.54
2632322,71700274,4.54
2632322,71700281,4.54
2632322,71700298,4.54
2632323,71700243,4.54
2632323,71700250,4.54
2632323,71700267,4.54
2632323,71700274,4.54
2632323,71700281,4.54
2632323,71700298,4.54
2632324,71700311,4.54
2632324,71700328,4.54
2632324,71700335,4.54
2632324,71700342,4.54
2632324,71700359,4.54
2632324,71700366,4.54
2632325,71700380,4.54
2632325,71700397,4.54
2632325,71700403,4.54
2632325,71700410,4.54
2632325,71700427,4.54
2632325,71700434,4.54
2632308,71700953,2.44
2632308,71700960,2.44
2632308,71700977,2.44
2632308,71700984,2.44
2632308,71700991,2.44
2632308,71701004,2.44
2632308,71701011,2.44
2632309,71700885,2.44
2632309,71700892,2.44
2632309,71700908,2.44
2632309,71700915,2.44
2632309,71700922,2.44
2632309,71700939,2.44
2632309,71700946,2.44
2632313,71700885,2.44
2632313,71700892,2.44
2632313,71700908,2.44
2632313,71700915,2.44
2632313,71700922,2.44
2632313,71700939,2.44
2632313,71700946,2.44
2632327,71700885,2.44
2632327,71700892,2.44
2632327,71700908,2.44
2632327,71700915,2.44
2632327,71700922,2.44
2632327,71700939,2.44
2632327,71700946,2.44
2632338,71700953,2.44
2632338,71700960,2.44
2632338,71700977,2.44
2632338,71700984,2.44
2632338,71700991,2.44
2632338,71701004,2.44
2632338,71701011,2.44
2632339,71700953,2.44
2632339,71700960,2.44
2632339,71700977,2.44
2632339,71700984,2.44
2632339,71700991,2.44
2632339,71701004,2.44
2632339,71701011,2.44
2632295,71701042,2.64
2632295,71701059,2.64
2632295,71701066,2.64
2632295,71701073,2.64
2632295,71701080,2.64
2632295,71701097,2.64
2632295,71701103,2.64
2632328,71701042,2.64
2632328,71701059,2.64
2632328,71701066,2.64
2632328,71701073,2.64
2632328,71701080,2.64
2632328,71701097,2.64
2632328,71701103,2.64
2632329,71701042,2.64
2632329,71701059,2.64
2632329,71701066,2.64
2632329,71701073,2.64
2632329,71701080,2.64
2632329,71701097,2.64
2632329,71701103,2.64
2632330,71701110,2.64
2632330,71701127,2.64
2632330,71701134,2.64
2632330,71701141,2.64
2632330,71701158,2.64
2632330,71701165,2.64
2632330,71701172,2.64
2632331,71701110,2.64
2632331,71701127,2.64
2632331,71701134,2.64
2632331,71701141,2.64
2632331,71701158,2.64
2632331,71701165,2.64
2632331,71701172,2.64
2639619,71695891,4.62
2639619,71695907,4.62
2639619,71695914,4.62
2639619,71695921,4.62
2639619,71695938,4.62
2639619,71695945,4.62
2639619,71695952,4.62
2639624,71695891,4.62
2639624,71695907,4.62
2639624,71695914,4.62
2639624,71695921,4.62
2639624,71695938,4.62
2639624,71695945,4.62
2639624,71695952,4.62
2639626,71695891,4.62
2639626,71695907,4.62
2639626,71695914,4.62
2639626,71695921,4.62
2639626,71695938,4.62
2639626,71695945,4.62
2639626,71695952,4.62
2639627,71695891,4.62
2639627,71695907,4.62
2639627,71695914,4.62
2639627,71695921,4.62
2639627,71695938,4.62
2639627,71695945,4.62
2639627,71695952,4.62
2632504,71695396,7.32
2632504,71695402,7.32
2632504,71695419,7.32
2632504,71695426,7.32
2632504,71695433,7.32
2632504,71695440,7.32
2632504,71695457,7.32
2632506,71695327,7.32
2632506,71695334,7.32
2632506,71695341,7.32
2632506,71695358,7.32
2632506,71695365,7.32
2632506,71695372,7.32
2632506,71695389,7.32
2632507,71695464,7.32
2632507,71695471,7.32
2632507,71695488,7.32
2632507,71695495,7.32
2632507,71695501,7.32
2632507,71695518,7.32
2672075,71695464,7.32
2672075,71695471,7.32
2672075,71695488,7.32
2672075,71695495,7.32
2672075,71695501,7.32
2672075,71695518,7.32
2672076,71945729,6.88
2672076,71945736,6.88
2672076,71945743,6.88
2672076,71945750,6.88
2672076,71945767,6.88
2672076,71945774,6.88
2672076,71945781,6.88
2639620,71945798,6.88
2639620,71945804,6.88
2639620,71945811,6.88
2639620,71945828,6.88
2639620,71945835,6.88
2639620,71945842,6.88
2639620,71945859,6.88
2639622,71945798,6.88
2639622,71945804,6.88
2639622,71945811,6.88
2639622,71945828,6.88
2639622,71945835,6.88
2639622,71945842,6.88
2639622,71945859,6.88
2639623,71945729,6.88
2639623,71945736,6.88
2639623,71945743,6.88
2639623,71945750,6.88
2639623,71945767,6.88
2639623,71945774,6.88
2639623,71945781,6.88
2639618,71945729,6.88
2639618,71945736,6.88
2639618,71945743,6.88
2639618,71945750,6.88
2639618,71945767,6.88
2639618,71945774,6.88
2639618,71945781,6.88
2631970,71699042,4.72
2631970,71699059,4.72
2631970,71699066,4.72
2631970,71699073,4.72
2631970,71699080,4.72
2631970,71699097,4.72
2631970,71699103,4.72
2631973,71698908,4.72
2631973,71698915,4.72
2631973,71698922,4.72
2631973,71698939,4.72
2631973,71698946,4.72
2631973,71698953,4.72
2631973,71698960,4.72
2631974,71698977,4.72
2631974,71698984,4.72
2631974,71698991,4.72
2631974,71699004,4.72
2631974,71699011,4.72
2631974,71699028,4.72
2631974,71699035,4.72
2631976,71699110,4.72
2631976,71699127,4.72
2631976,71699134,4.72
2631976,71699141,4.72
2631976,71699158,4.72
2631976,71699165,4.72
2631976,71699172,4.72
2631977,71698977,4.72
2631977,71698984,4.72
2631977,71698991,4.72
2631977,71699004,4.72
2631977,71699011,4.72
2631977,71699028,4.72
2631977,71699035,4.72
2631987,71698977,4.72
2631987,71698984,4.72
2631987,71698991,4.72
2631987,71699004,4.72
2631987,71699011,4.72
2631987,71699028,4.72
2631987,71699035,4.72
2631988,71698908,4.72
2631988,71698915,4.72
2631988,71698922,4.72
2631988,71698939,4.72
2631988,71698946,4.72
2631988,71698953,4.72
2631988,71698960,4.72
2631989,71699110,4.72
2631989,71699127,4.72
2631989,71699134,4.72
2631989,71699141,4.72
2631989,71699158,4.72
2631989,71699165,4.72
2631989,71699172,4.72
2631990,71699189,4.72
2631990,71699196,4.72
2631990,71699202,4.72
2631990,71699219,4.72
2631990,71699226,4.72
2631990,71699233,4.72
2631990,71699240,4.72
2631951,71185972,1.67
2631951,71185989,1.67
2631951,71185996,1.67
2631951,71186009,1.67
2631951,71186016,1.67
2631951,71186023,1.67
2631951,71186030,1.67
2631952,71186115,1.67
2631952,71186122,1.67
2631952,71186139,1.67
2631952,71186146,1.67
2631952,71186153,1.67
2631952,71186160,1.67
2631952,71186177,1.67
2631953,72648285,1.67
2631953,72648292,1.67
2631953,72648308,1.67
2631953,72648315,1.67
2631953,72648322,1.67
2631954,71186047,1.67
2631954,71186054,1.67
2631954,71186061,1.67
2631954,71186078,1.67
2631954,71186085,1.67
2631954,71186092,1.67
