PGM_PO_NUMBER,PRD_LVL_NUMBER,NEW_FOB
2673137,73520658,5.0
2673137,73520665,5.0
2673137,73520672,5.0
2656458,73383512,5.0
2656458,73383529,5.0
2656458,73383536,5.0
2656458,73383543,5.0
2656458,73383550,5.0
2656458,73383567,5.0
2656458,73383574,5.0
2656458,73383581,5.0
2656459,73383598,5.0
2656459,73383604,5.0
2656459,73383611,5.0
2656459,73383628,5.0
2656459,73383635,5.0
2656459,73383642,5.0
2656459,73383659,5.0
2656459,73383666,5.0
2673141,73520696,5.0
2673141,73520702,5.0
2673141,73520719,5.0
2673141,73520726,5.0
2673141,73520733,5.0
2673145,73520696,5.0
2673145,73520702,5.0
2673145,73520719,5.0
2673145,73520726,5.0
2673145,73520733,5.0
2673146,73520603,5.0
2673146,73520610,5.0
2673146,73520627,5.0
2673146,73520634,5.0
2673146,73520641,5.0
2673146,73520658,5.0
2673146,73520665,5.0
2673146,73520672,5.0
2656462,73383529,5.0
2656462,73383536,5.0
2656462,73383543,5.0
2656462,73383550,5.0
2656462,73383567,5.0
2656463,73383604,5.0
2656463,73383611,5.0
2656463,73383628,5.0
2656463,73383635,5.0
2656463,73383642,5.0
2673149,73520689,5.0
2673149,73520696,5.0
2673149,73520702,5.0
2673149,73520719,5.0
2673149,73520726,5.0
2673149,73520733,5.0
2673149,73520740,5.0
2673149,73520757,5.0
2673153,73520696,5.0
2673153,73520702,5.0
2673153,73520719,5.0
2673153,73520726,5.0
2673153,73520733,5.0
2673154,73520603,5.0
2673154,73520610,5.0
2673154,73520627,5.0
2673154,73520634,5.0
2673154,73520641,5.0
2673154,73520658,5.0
2673154,73520665,5.0
2673154,73520672,5.0
2656466,73383529,5.0
2656466,73383536,5.0
2656466,73383543,5.0
2656466,73383550,5.0
2656466,73383567,5.0
2656467,73383604,5.0
2656467,73383611,5.0
2656467,73383628,5.0
2656467,73383635,5.0
2656467,73383642,5.0
2673157,73520696,5.0
2673157,73520702,5.0
2673157,73520719,5.0
2673157,73520726,5.0
2673157,73520733,5.0
2673161,73520689,5.0
2673161,73520696,5.0
2673161,73520702,5.0
2673161,73520719,5.0
2673161,73520726,5.0
2673161,73520733,5.0
2673161,73520740,5.0
2673161,73520757,5.0
2656470,73383512,5.0
2656470,73383529,5.0
2656470,73383536,5.0
2656470,73383543,5.0
2656470,73383550,5.0
2656470,73383567,5.0
2656470,73383574,5.0
2656470,73383581,5.0
2656471,73383598,5.0
2656471,73383604,5.0
2656471,73383611,5.0
2656471,73383628,5.0
2656471,73383635,5.0
2656471,73383642,5.0
2656471,73383659,5.0
2656471,73383666,5.0
2656474,73383529,5.0
2656474,73383536,5.0
2656474,73383543,5.0
2656474,73383550,5.0
2656474,73383567,5.0
2656475,73383604,5.0
2656475,73383611,5.0
2656475,73383628,5.0
2656475,73383635,5.0
2656475,73383642,5.0
2656478,73383529,5.0
2656478,73383536,5.0
2656478,73383543,5.0
2656478,73383550,5.0
2656478,73383567,5.0
2656479,73383598,5.0
2656479,73383604,5.0
2656479,73383611,5.0
2656479,73383628,5.0
2656479,73383635,5.0
2656479,73383642,5.0
2656479,73383659,5.0
2656479,73383666,5.0
2662749,73444961,1.62
2662749,73444978,1.62
2662749,73444985,1.62
