PO Number,CASE PACK ID, FOB 
2666884,72647653*2A    ,2.83
2666884,72647660*2A    ,2.83
2666884,72647677*2A    ,2.83
2666884,72647684*2A    ,2.83
2666884,72647691*2A    ,2.83
2666884,72647707*2A    ,2.83
2666885,72647851*2A    ,2.83
2666885,72647868*2A    ,2.83
2666885,72647875*2A    ,2.83
2666885,72647882*2A    ,2.83
2666885,72647899*2A    ,2.83
2666885,72647905*2A    ,2.83
2666885,72647912*2A    ,2.83
2667189,72647783*2A    ,2.83
2667189,72647790*2A    ,2.83
2667189,72647806*2A    ,2.83
2667189,72647813*2A    ,2.83
2667189,72647820*2A    ,2.83
2667189,72647837*2A    ,2.83
2667189,72647844*2A    ,2.83
2666886,72647578*2A    ,2.83
2666886,72647585*2A    ,2.83
2666886,72647592*2A    ,2.83
2666886,72647608*2A    ,2.83
2666886,72647615*2A    ,2.83
2666886,72647622*2A    ,2.83
2666886,72647639*2A    ,2.83
2666887,72647783*2A    ,2.83
2666887,72647790*2A    ,2.83
2666887,72647806*2A    ,2.83
2666887,72647813*2A    ,2.83
2666887,72647820*2A    ,2.83
2666887,72647837*2A    ,2.83
2666887,72647844*2A    ,2.83
2666888,72647851*2A    ,2.83
2666888,72647868*2A    ,2.83
2666888,72647875*2A    ,2.83
2666888,72647882*2A    ,2.83
2666888,72647899*2A    ,2.83
2666888,72647905*2A    ,2.83
2666888,72647912*2A    ,2.83
2667190,72647646*2A    ,2.83
2667190,72647653*2A    ,2.83
2667190,72647660*2A    ,2.83
2667190,72647677*2A    ,2.83
2667190,72647684*2A    ,2.83
2667190,72647691*2A    ,2.83
2667190,72647707*2A    ,2.83
2672079,71186054*2A    ,1.695
2672079,71186061*2A    ,1.695
2672079,71186078*2A    ,1.695
2672079,71186085*2A    ,1.695
2672079,71186092*2A    ,1.695
2672080,71186122*2A    ,1.695
2672080,71186139*2A    ,1.695
2672080,71186146*2A    ,1.695
2672080,71186153*2A    ,1.695
2672080,71186160*2A    ,1.695
2672081,71185989*2A    ,1.695
2672081,71185996*2A    ,1.695
2672081,71186009*2A    ,1.695
2672081,71186016*2A    ,1.695
2672081,71186023*2A    ,1.695
2672082,71186054*2A    ,1.695
2672082,71186061*2A    ,1.695
2672082,71186078*2A    ,1.695
2672082,71186085*2A    ,1.695
2672082,71186092*2A    ,1.695
2672083,71186054*2A    ,1.695
2672083,71186061*2A    ,1.695
2672083,71186078*2A    ,1.695
2672083,71186085*2A    ,1.695
2672083,71186092*2A    ,1.695
2631964,71185972*2A    ,1.67
2631964,71185989*2A    ,1.67
2631964,71185996*2A    ,1.67
2631964,71186009*2A    ,1.67
2631964,71186016*2A    ,1.67
2631964,71186023*2A    ,1.67
2631964,71186030*2A    ,1.67
2631965,71186115*2A    ,1.67
2631965,71186122*2A    ,1.67
2631965,71186139*2A    ,1.67
2631965,71186146*2A    ,1.67
2631965,71186153*2A    ,1.67
2631965,71186160*2A    ,1.67
2631965,71186177*2A    ,1.67
2631966,71186047*2A    ,1.67
2631966,71186054*2A    ,1.67
2631966,71186061*2A    ,1.67
2631966,71186078*2A    ,1.67
2631966,71186085*2A    ,1.67
2631966,71186092*2A    ,1.67
2631966,71186108*2A    ,1.67
2666821,71186467*2A    ,3.3
2666821,71186474*2A    ,3.3
2666821,71186481*2A    ,3.3
2666821,71186498*2A    ,3.3
2666821,71186504*2A    ,3.3
2666821,71186511*2A    ,3.3
2666821,71186528*2A    ,3.3
2666822,71186535*2A    ,3.3
2666822,71186542*2A    ,3.3
2666822,71186559*2A    ,3.3
2666822,71186566*2A    ,3.3
2666822,71186573*2A    ,3.3
2666822,71186580*2A    ,3.3
2666856,71186467*2A    ,3.3
2666856,71186474*2A    ,3.3
2666856,71186481*2A    ,3.3
2666856,71186498*2A    ,3.3
2666856,71186504*2A    ,3.3
2666856,71186511*2A    ,3.3
2666856,71186528*2A    ,3.3
2666857,71186535*2A    ,3.3
2666857,71186542*2A    ,3.3
2666857,71186559*2A    ,3.3
2666857,71186566*2A    ,3.3
2666857,71186573*2A    ,3.3
2666857,71186580*2A    ,3.3
2666864,71186535*2A    ,3.3
2666864,71186542*2A    ,3.3
2666864,71186559*2A    ,3.3
2666864,71186566*2A    ,3.3
2666864,71186573*2A    ,3.3
2666864,71186580*2A    ,3.3
2666865,71186467*2A    ,3.3
2666865,71186474*2A    ,3.3
2666865,71186481*2A    ,3.3
2666865,71186498*2A    ,3.3
2666865,71186504*2A    ,3.3
2666865,71186511*2A    ,3.3
2666865,71186528*2A    ,3.3
2666874,71186535*2A    ,3.3
2666874,71186542*2A    ,3.3
2666874,71186559*2A    ,3.3
2666874,71186566*2A    ,3.3
2666874,71186573*2A    ,3.3
2666874,71186580*2A    ,3.3
2666875,71186467*2A    ,3.3
2666875,71186474*2A    ,3.3
2666875,71186481*2A    ,3.3
2666875,71186498*2A    ,3.3
2666875,71186504*2A    ,3.3
2666875,71186511*2A    ,3.3
2666875,71186528*2A    ,3.3
2667297,71187075*2A    ,5.15
2667297,71187082*2A    ,5.15
2667297,71187099*2A    ,5.15
2667297,71187105*2A    ,5.15
2667297,71187112*2A    ,5.15
2667297,71187129*2A    ,5.15
2667297,71187136*2A    ,5.15
2667298,71945064*2A    ,5.15
2667298,71945071*2A    ,5.15
2667298,71945088*2A    ,5.15
2667298,71945095*2A    ,5.15
2667298,71945101*2A    ,5.15
2667298,71945118*2A    ,5.15
2667299,71187013*2A    ,5.15
2667299,71187020*2A    ,5.15
2667299,71187037*2A    ,5.15
2667299,71187044*2A    ,5.15
2667299,71187051*2A    ,5.15
2667299,71187068*2A    ,5.15
2667300,71187150*2A    ,5.15
2667300,71187167*2A    ,5.15
2667300,71187174*2A    ,5.15
2667300,71187181*2A    ,5.15
2667300,71187198*2A    ,5.15
2667300,71187204*2A    ,5.15
2667303,71187075*2A    ,5.15
2667303,71187082*2A    ,5.15
2667303,71187099*2A    ,5.15
2667303,71187105*2A    ,5.15
2667303,71187112*2A    ,5.15
2667303,71187129*2A    ,5.15
2667303,71187136*2A    ,5.15
2667304,71187150*2A    ,5.15
2667304,71187167*2A    ,5.15
2667304,71187174*2A    ,5.15
2667304,71187181*2A    ,5.15
2667304,71187198*2A    ,5.15
2667304,71187204*2A    ,5.15
2667305,71945064*2A    ,5.15
2667305,71945071*2A    ,5.15
2667305,71945088*2A    ,5.15
2667305,71945095*2A    ,5.15
2667305,71945101*2A    ,5.15
2667305,71945118*2A    ,5.15
2667308,71945064*2A    ,5.15
2667308,71945071*2A    ,5.15
2667308,71945088*2A    ,5.15
2667308,71945095*2A    ,5.15
2667308,71945101*2A    ,5.15
2667308,71945118*2A    ,5.15
2667309,71187150*2A    ,5.15
2667309,71187167*2A    ,5.15
2667309,71187174*2A    ,5.15
2667309,71187181*2A    ,5.15
2667309,71187198*2A    ,5.15
2667309,71187204*2A    ,5.15
2667310,71187075*2A    ,5.15
2667310,71187082*2A    ,5.15
2667310,71187099*2A    ,5.15
2667310,71187105*2A    ,5.15
2667310,71187112*2A    ,5.15
2667310,71187129*2A    ,5.15
2667310,71187136*2A    ,5.15
2667311,71187013*2A    ,5.15
2667311,71187020*2A    ,5.15
2667311,71187037*2A    ,5.15
2667311,71187044*2A    ,5.15
2667311,71187051*2A    ,5.15
2667311,71187068*2A    ,5.15
2667295,71187327*2A    ,4.55
2667295,71187334*2A    ,4.55
2667295,71187341*2A    ,4.55
2667295,71187358*2A    ,4.55
2667295,71187365*2A    ,4.55
2667295,71187372*2A    ,4.55
2667296,71187396*2A    ,4.55
2667296,71187402*2A    ,4.55
2667296,71187419*2A    ,4.55
2667296,71187426*2A    ,4.55
2667296,71187433*2A    ,4.55
2667296,71187440*2A    ,4.55
2667301,71187327*2A    ,4.55
2667301,71187334*2A    ,4.55
2667301,71187341*2A    ,4.55
2667301,71187358*2A    ,4.55
2667301,71187365*2A    ,4.55
2667301,71187372*2A    ,4.55
2667302,71187396*2A    ,4.55
2667302,71187402*2A    ,4.55
2667302,71187419*2A    ,4.55
2667302,71187426*2A    ,4.55
2667302,71187433*2A    ,4.55
2667302,71187440*2A    ,4.55
2667306,71187396*2A    ,4.55
2667306,71187402*2A    ,4.55
2667306,71187419*2A    ,4.55
2667306,71187426*2A    ,4.55
2667306,71187433*2A    ,4.55
2667306,71187440*2A    ,4.55
2667307,71187327*2A    ,4.55
2667307,71187334*2A    ,4.55
2667307,71187341*2A    ,4.55
2667307,71187358*2A    ,4.55
2667307,71187365*2A    ,4.55
2667307,71187372*2A    ,4.55
2667211,68718275*2     ,5.35
2667211,68718282*2     ,5.35
2667211,68718299*2     ,5.35
2667211,68718305*2     ,5.35
2667211,68718312*2     ,5.35
