PO Number,CASE PACK ID, FOB 
2666841,71700267*2A    ,4.608
2666841,71700274*2A    ,4.608
2666841,71700281*2A    ,4.608
2666841,71700298*2A    ,4.608
2666805,71189192*2A    ,2.121
2666805,71189208*2A    ,2.121
2666805,71189215*2A    ,2.121
2666805,71189222*2A    ,2.121
2666805,71189239*2A    ,2.121
2666853,71189192*2A    ,2.121
2666853,71189208*2A    ,2.121
2666853,71189215*2A    ,2.121
2666853,71189222*2A    ,2.121
2666853,71189239*2A    ,2.121
2666868,71189192*2A    ,2.121
2666868,71189208*2A    ,2.121
2666868,71189215*2A    ,2.121
2666868,71189222*2A    ,2.121
2666868,71189239*2A    ,2.121
2666876,71189192*2A    ,2.121
2666876,71189208*2A    ,2.121
2666876,71189215*2A    ,2.121
2666876,71189222*2A    ,2.121
2666876,71189239*2A    ,2.121
2632338,71700953*2A    ,2.476
2632338,71700960*2A    ,2.476
2632338,71700977*2A    ,2.476
2632338,71700984*2A    ,2.476
2632338,71700991*2A    ,2.476
2632338,71701004*2A    ,2.476
2632338,71701011*2A    ,2.476
2666804,71700892*2A    ,2.476
2666804,71700908*2A    ,2.476
2666804,71700915*2A    ,2.476
2666804,71700922*2A    ,2.476
2666804,71700939*2A    ,2.476
2632339,71700953*2A    ,2.476
2632339,71700960*2A    ,2.476
2632339,71700977*2A    ,2.476
2632339,71700984*2A    ,2.476
2632339,71700991*2A    ,2.476
2632339,71701004*2A    ,2.476
2632339,71701011*2A    ,2.476
2666823,71700892*2A    ,2.476
2666823,71700908*2A    ,2.476
2666823,71700915*2A    ,2.476
2666823,71700922*2A    ,2.476
2666823,71700939*2A    ,2.476
2666834,71700960*2A    ,2.476
2666834,71700977*2A    ,2.476
2666834,71700984*2A    ,2.476
2666834,71700991*2A    ,2.476
2666834,71701004*2A    ,2.476
2666858,71700960*2A    ,2.476
2666858,71700977*2A    ,2.476
2666858,71700984*2A    ,2.476
2666858,71700991*2A    ,2.476
2666858,71701004*2A    ,2.476
2666867,71700960*2A    ,2.476
2666867,71700977*2A    ,2.476
2666867,71700984*2A    ,2.476
2666867,71700991*2A    ,2.476
2666867,71701004*2A    ,2.476
2666840,71701110*2A    ,2.68
2666840,71701127*2A    ,2.68
2666840,71701134*2A    ,2.68
2666840,71701141*2A    ,2.68
2666840,71701158*2A    ,2.68
2666847,71701042*2A    ,2.68
2666847,71701059*2A    ,2.68
2666847,71701066*2A    ,2.68
2666847,71701073*2A    ,2.68
2666847,71701080*2A    ,2.68
2666859,71701110*2A    ,2.68
2666859,71701127*2A    ,2.68
2666859,71701134*2A    ,2.68
2666859,71701141*2A    ,2.68
2666859,71701158*2A    ,2.68
2666866,71701042*2A    ,2.68
2666866,71701059*2A    ,2.68
2666866,71701066*2A    ,2.68
2666866,71701073*2A    ,2.68
2666866,71701080*2A    ,2.68
